0,1,2,3,4,5,6
05-43 (secondary),19.8,2.2,22,28.6,49.4,100
45-47 (trade),57.1,8.6,65.7,30.9,3.4,100
49-53( transport),53.7,0.6,54.3,34.3,11.4,100
55-56 (accommodation & food services),45.1,9.4,54.5,36.2,9.4,100
58-99 (other services),25.8,1.7,27.5,70.6,1.9,100
45-99 (tertiary),44.1,4.6,48.7,46.5,4.7,100
total ,43.5,10.1,53.6,24.9,21.5,100
sample workers,51855,10654,62509,34653,22556,119718
01-03 (agriculture),30.1,50.5,80.6,0.7,18.7,100
05-09 (mining & quarrying),0.5,5.4,5.9,51.4,42.7,100
10-33 (manufacturing),64,13.8,77.8,17.4,4.8,100
35-39 (electricity and  water supply),26,5.3,31.3,55.2,13.5,100
41-43 (construction),0.4,0.6,1,2,97,100
05-43 (secondary),48,10.5,58.5,14.3,27.2,100
45-47 (trade),40.5,38.4,78.9,20.1,1,100
49-53( transport),2.9,0.3,3.2,91.8,5.1,100
55-56 (accommodation & food services),23.8,42.8,66.6,23.5,9.9,100
58-99 (other services),11.7,1.8,13.5,84.8,1.8,100
45-99 (tertiary),19.3,13,32.3,65.6,2.1,100
total ,30.7,36.7,67.4,15.9,16.7,100
sample workers,21710,20771,42481,12383,8488,63352
01-03 (agriculture),46.3,35.7,82,0.9,17,100
05-09 (mining & quarrying),8.4,1.7,10.1,64.4,25.6,100
10-33 (manufacturing),40,7.8,47.8,43.4,8.8,100
35-39 (electricity and  water supply),17.7,2,19.7,74.8,5.6,100
41-43 (construction),13.5,0.7,14.2,5.2,80.6,100
05-43 (secondary),26.1,4.1,30.2,25.4,44.5,100
45-47 (trade),54.4,13.5,67.9,29.1,3,100
49-53( transport),53.1,0.6,53.7,35,11.3,100
55-56 (accommodation & food services),40.5,16.5,57,33.5,9.5,100
58-99 (other services),20.6,1.7,22.4,75.8,1.8,100
45-99 (tertiary),38.3,6.6,44.9,51,4.1,100
total ,39,19.4,58.4,21.7,19.8,100
sample workers,73565,31425,104990,47036,31044,183070
